# LSTM+CNN FFT Tahmin Sonuçları
# Model: Genişletilmiş (seq96)
# Sequence Length: 96


## apo_yukarı.csv
Satır sayısı: 215744
Tahmin sayısı: 1685
Dağılım: {'yukarı': 1685}
Ortalama güven: 99.4%

Detaylı tahminler:
    96: yukarı     (100.0%)
   224: yukarı     (100.0%)
   352: yukarı     (100.0%)
   480: yukarı     (100.0%)
   608: yukarı     (99.6%)
   736: yukarı     (99.6%)
   864: yukarı     (99.6%)
   992: yukarı     (99.6%)
  1120: yukarı     (99.9%)
  1248: yukarı     (99.9%)
  1376: yukarı     (99.9%)
  1504: yukarı     (99.9%)
  1632: yukarı     (100.0%)
  1760: yukarı     (100.0%)
  1888: yukarı     (100.0%)
  2016: yukarı     (100.0%)
  2144: yukarı     (99.9%)
  2272: yukarı     (99.9%)
  2400: yukarı     (99.9%)
  2528: yukarı     (99.9%)
  2656: yukarı     (99.8%)
  2784: yukarı     (99.8%)
  2912: yukarı     (99.8%)
  3040: yukarı     (99.8%)
  3168: yukarı     (98.7%)
  3296: yukarı     (98.7%)
  3424: yukarı     (98.7%)
  3552: yukarı     (98.7%)
  3680: yukarı     (98.4%)
  3808: yukarı     (98.4%)
  3936: yukarı     (98.4%)
  4064: yukarı     (98.4%)
  4192: yukarı     (99.9%)
  4320: yukarı     (99.9%)
  4448: yukarı     (99.9%)
  4576: yukarı     (99.9%)
  4704: yukarı     (99.9%)
  4832: yukarı     (99.9%)
  4960: yukarı     (99.9%)
  5088: yukarı     (99.9%)
  5216: yukarı     (99.8%)
  5344: yukarı     (99.8%)
  5472: yukarı     (99.8%)
  5600: yukarı     (99.8%)
  5728: yukarı     (99.9%)
  5856: yukarı     (99.9%)
  5984: yukarı     (99.9%)
  6112: yukarı     (99.9%)
  6240: yukarı     (99.9%)
  6368: yukarı     (99.9%)
  6496: yukarı     (99.9%)
  6624: yukarı     (99.9%)
  6752: yukarı     (94.1%)
  6880: yukarı     (94.1%)
  7008: yukarı     (94.1%)
  7136: yukarı     (94.1%)
  7264: yukarı     (99.9%)
  7392: yukarı     (99.9%)
  7520: yukarı     (99.9%)
  7648: yukarı     (99.9%)
  7776: yukarı     (100.0%)
  7904: yukarı     (100.0%)
  8032: yukarı     (100.0%)
  8160: yukarı     (100.0%)
  8288: yukarı     (99.6%)
  8416: yukarı     (99.6%)
  8544: yukarı     (99.6%)
  8672: yukarı     (99.6%)
  8800: yukarı     (98.1%)
  8928: yukarı     (98.1%)
  9056: yukarı     (98.1%)
  9184: yukarı     (98.1%)
  9312: yukarı     (100.0%)
  9440: yukarı     (100.0%)
  9568: yukarı     (100.0%)
  9696: yukarı     (100.0%)
  9824: yukarı     (100.0%)
  9952: yukarı     (100.0%)
  10080: yukarı     (100.0%)
  10208: yukarı     (100.0%)
  10336: yukarı     (99.8%)
  10464: yukarı     (99.8%)
  10592: yukarı     (99.8%)
  10720: yukarı     (99.8%)
  10848: yukarı     (100.0%)
  10976: yukarı     (100.0%)
  11104: yukarı     (100.0%)
  11232: yukarı     (100.0%)
  11360: yukarı     (96.9%)
  11488: yukarı     (96.9%)
