======================================================================
EEGNet MODEL EĞİTİM LOGU
======================================================================

Tarih: 2025-11-26 01:13:55
Device: cuda

MODEL YAPISI:
----------------------------------------------------------------------
Model: EEGNet (Compact Convolutional Neural Network)
Toplam Parametreler: 1,443
Eğitilebilir Parametreler: 1,443

HİPERPARAMETRELER:
----------------------------------------------------------------------
Batch Size: 32
Epochs: 50
Learning Rate: 0.001
Optimizer: Adam

SONUÇLAR:
----------------------------------------------------------------------
En İyi Doğrulama Accuracy: 51.04%
Final Test Accuracy: 50.58%
Toplam Eğitim Süresi: 67.61 saniye

DETAYLI EPOCH LOGU:
----------------------------------------------------------------------
Epoch   1 | Train Loss: 1.0782 | Train Acc: 42.03% | Val Loss: 1.0627 | Val Acc: 42.20%
Epoch   2 | Train Loss: 1.0480 | Train Acc: 45.11% | Val Loss: 1.0489 | Val Acc: 44.68%
Epoch   3 | Train Loss: 1.0411 | Train Acc: 45.88% | Val Loss: 1.0409 | Val Acc: 46.57%
Epoch   4 | Train Loss: 1.0321 | Train Acc: 46.70% | Val Loss: 1.0367 | Val Acc: 47.12%
Epoch   5 | Train Loss: 1.0286 | Train Acc: 46.96% | Val Loss: 1.0352 | Val Acc: 48.31%
Epoch   6 | Train Loss: 1.0246 | Train Acc: 46.57% | Val Loss: 1.0270 | Val Acc: 48.26%
Epoch   7 | Train Loss: 1.0218 | Train Acc: 46.86% | Val Loss: 1.0333 | Val Acc: 47.02%
Epoch   8 | Train Loss: 1.0208 | Train Acc: 47.48% | Val Loss: 1.0333 | Val Acc: 47.86%
Epoch   9 | Train Loss: 1.0198 | Train Acc: 47.59% | Val Loss: 1.0333 | Val Acc: 47.66%
Epoch  10 | Train Loss: 1.0139 | Train Acc: 48.32% | Val Loss: 1.0247 | Val Acc: 48.56%
Epoch  11 | Train Loss: 1.0129 | Train Acc: 47.57% | Val Loss: 1.0242 | Val Acc: 49.40%
Epoch  12 | Train Loss: 1.0109 | Train Acc: 48.36% | Val Loss: 1.0237 | Val Acc: 47.32%
Epoch  13 | Train Loss: 1.0072 | Train Acc: 48.39% | Val Loss: 1.0213 | Val Acc: 49.20%
Epoch  14 | Train Loss: 1.0061 | Train Acc: 48.83% | Val Loss: 1.0191 | Val Acc: 48.76%
Epoch  15 | Train Loss: 1.0079 | Train Acc: 48.33% | Val Loss: 1.0238 | Val Acc: 48.31%
Epoch  16 | Train Loss: 1.0070 | Train Acc: 48.51% | Val Loss: 1.0131 | Val Acc: 49.50%
