======================================================================
TCN MODEL EĞİTİM LOGU
======================================================================

Tarih: 2025-11-26 01:04:53
Device: cuda

MODEL YAPISI:
----------------------------------------------------------------------
Model: TCN (Temporal Convolutional Network)
Toplam Parametreler: 460,611
Eğitilebilir Parametreler: 460,611

HİPERPARAMETRELER:
----------------------------------------------------------------------
Batch Size: 32
Epochs: 50
Learning Rate: 0.001
Optimizer: Adam

SONUÇLAR:
----------------------------------------------------------------------
En İyi Doğrulama Accuracy: 92.25%
Final Test Accuracy: 89.41%
Toplam Eğitim Süresi: 171.49 saniye

DETAYLI EPOCH LOGU:
----------------------------------------------------------------------
Epoch   1 | Train Loss: 1.0393 | Train Acc: 45.48% | Val Loss: 1.0265 | Val Acc: 47.96%
Epoch   2 | Train Loss: 1.0140 | Train Acc: 48.21% | Val Loss: 1.0204 | Val Acc: 49.01%
Epoch   3 | Train Loss: 0.9869 | Train Acc: 49.78% | Val Loss: 0.9678 | Val Acc: 52.09%
Epoch   4 | Train Loss: 0.9676 | Train Acc: 51.50% | Val Loss: 0.9526 | Val Acc: 53.33%
Epoch   5 | Train Loss: 0.9417 | Train Acc: 53.11% | Val Loss: 0.9338 | Val Acc: 56.21%
Epoch   6 | Train Loss: 0.9221 | Train Acc: 54.66% | Val Loss: 0.9474 | Val Acc: 52.24%
Epoch   7 | Train Loss: 0.8939 | Train Acc: 56.91% | Val Loss: 0.8958 | Val Acc: 57.60%
Epoch   8 | Train Loss: 0.8678 | Train Acc: 57.70% | Val Loss: 0.9116 | Val Acc: 59.54%
Epoch   9 | Train Loss: 0.8492 | Train Acc: 58.53% | Val Loss: 0.9102 | Val Acc: 58.95%
Epoch  10 | Train Loss: 0.8176 | Train Acc: 60.79% | Val Loss: 0.8666 | Val Acc: 62.72%
Epoch  11 | Train Loss: 0.7938 | Train Acc: 62.28% | Val Loss: 0.8916 | Val Acc: 55.42%
Epoch  12 | Train Loss: 0.7682 | Train Acc: 63.90% | Val Loss: 0.8363 | Val Acc: 62.43%
Epoch  13 | Train Loss: 0.7363 | Train Acc: 65.57% | Val Loss: 0.7986 | Val Acc: 67.79%
