======================================================================
TRANSFORMER MODEL EĞİTİM LOGU
======================================================================

Tarih: 2025-11-26 01:35:38
Device: cuda

MODEL YAPISI:
----------------------------------------------------------------------
Model: Transformer (Small - Attention Mechanism)
Toplam Parametreler: 109,315
Eğitilebilir Parametreler: 109,315

HİPERPARAMETRELER:
----------------------------------------------------------------------
Batch Size: 32
Epochs: 50
Learning Rate: 0.001
Optimizer: Adam

SONUÇLAR:
----------------------------------------------------------------------
En İyi Doğrulama Accuracy: 86.23%
Final Test Accuracy: 86.25%
Toplam Eğitim Süresi: 152.61 saniye

DETAYLI EPOCH LOGU:
----------------------------------------------------------------------
Epoch   1 | Train Loss: 1.0304 | Train Acc: 45.59% | Val Loss: 1.0187 | Val Acc: 46.77%
Epoch   2 | Train Loss: 1.0061 | Train Acc: 47.94% | Val Loss: 0.9983 | Val Acc: 50.10%
Epoch   3 | Train Loss: 0.9877 | Train Acc: 49.58% | Val Loss: 0.9922 | Val Acc: 50.75%
Epoch   4 | Train Loss: 0.9740 | Train Acc: 50.40% | Val Loss: 0.9969 | Val Acc: 48.61%
Epoch   5 | Train Loss: 0.9594 | Train Acc: 51.89% | Val Loss: 0.9611 | Val Acc: 53.18%
Epoch   6 | Train Loss: 0.9508 | Train Acc: 52.33% | Val Loss: 0.9736 | Val Acc: 51.44%
Epoch   7 | Train Loss: 0.9394 | Train Acc: 53.51% | Val Loss: 0.9539 | Val Acc: 52.98%
Epoch   8 | Train Loss: 0.9217 | Train Acc: 54.56% | Val Loss: 1.0144 | Val Acc: 49.95%
Epoch   9 | Train Loss: 0.9167 | Train Acc: 55.20% | Val Loss: 0.9584 | Val Acc: 53.03%
Epoch  10 | Train Loss: 0.9018 | Train Acc: 55.81% | Val Loss: 0.9440 | Val Acc: 54.17%
Epoch  11 | Train Loss: 0.8974 | Train Acc: 56.19% | Val Loss: 0.9200 | Val Acc: 56.66%
Epoch  12 | Train Loss: 0.8829 | Train Acc: 57.51% | Val Loss: 0.9126 | Val Acc: 56.36%
Epoch  13 | Train Loss: 0.8576 | Train Acc: 58.51% | Val Loss: 0.9072 | Val Acc: 57.21%
Epoch  14 | Train Loss: 0.8382 | Train Acc: 60.13% | Val Loss: 0.8991 | Val Acc: 57.75%
Epoch  15 | Train Loss: 0.8226 | Train Acc: 61.30% | Val Loss: 0.8832 | Val Acc: 59.24%
Epoch  16 | Train Loss: 0.8086 | Train Acc: 61.96% | Val Loss: 0.8705 | Val Acc: 59.74%
Epoch  17 | Train Loss: 0.7874 | Train Acc: 62.87% | Val Loss: 0.8948 | Val Acc: 59.54%
Epoch  18 | Train Loss: 0.7690 | Train Acc: 64.29% | Val Loss: 0.8357 | Val Acc: 62.87%
Epoch  19 | Train Loss: 0.7443 | Train Acc: 65.34% | Val Loss: 0.8291 | Val Acc: 61.88%
Epoch  20 | Train Loss: 0.7314 | Train Acc: 65.49% | Val Loss: 0.8035 | Val Acc: 64.56%
Epoch  21 | Train Loss: 0.7048 | Train Acc: 66.82% | Val Loss: 0.8449 | Val Acc: 63.27%
Epoch  22 | Train Loss: 0.6859 | Train Acc: 68.42% | Val Loss: 0.8072 | Val Acc: 63.87%
Epoch  23 | Train Loss: 0.6673 | Train Acc: 69.59% | Val Loss: 0.8280 | Val Acc: 65.41%
Epoch  24 | Train Loss: 0.6444 | Train Acc: 70.35% | Val Loss: 0.8098 | Val Acc: 65.46%
Epoch  25 | Train Loss: 0.6307 | Train Acc: 71.35% | Val Loss: 0.7800 | Val Acc: 67.45%
Epoch  26 | Train Loss: 0.6122 | Train Acc: 71.87% | Val Loss: 0.7717 | Val Acc: 68.29%
Epoch  27 | Train Loss: 0.5974 | Train Acc: 72.70% | Val Loss: 0.8319 | Val Acc: 67.64%
Epoch  28 | Train Loss: 0.5832 | Train Acc: 73.25% | Val Loss: 0.7445 | Val Acc: 69.28%
Epoch  29 | Train Loss: 0.5628 | Train Acc: 74.69% | Val Loss: 0.6841 | Val Acc: 72.61%
Epoch  30 | Train Loss: 0.5395 | Train Acc: 75.71% | Val Loss: 0.6964 | Val Acc: 72.47%
Epoch  31 | Train Loss: 0.5256 | Train Acc: 76.81% | Val Loss: 0.7078 | Val Acc: 72.02%
Epoch  32 | Train Loss: 0.5215 | Train Acc: 76.55% | Val Loss: 0.7605 | Val Acc: 72.91%
Epoch  33 | Train Loss: 0.4992 | Train Acc: 78.04% | Val Loss: 0.6729 | Val Acc: 75.35%
Epoch  34 | Train Loss: 0.4922 | Train Acc: 78.32% | Val Loss: 0.7793 | Val Acc: 72.71%
Epoch  35 | Train Loss: 0.4701 | Train Acc: 79.08% | Val Loss: 0.7354 | Val Acc: 75.15%
Epoch  36 | Train Loss: 0.4553 | Train Acc: 80.03% | Val Loss: 0.7549 | Val Acc: 74.90%
Epoch  37 | Train Loss: 0.4476 | Train Acc: 81.11% | Val Loss: 0.6451 | Val Acc: 76.34%
Epoch  38 | Train Loss: 0.4319 | Train Acc: 81.21% | Val Loss: 0.7852 | Val Acc: 75.55%
Epoch  39 | Train Loss: 0.4178 | Train Acc: 82.21% | Val Loss: 0.6402 | Val Acc: 78.13%
Epoch  40 | Train Loss: 0.4150 | Train Acc: 82.53% | Val Loss: 0.6098 | Val Acc: 78.53%
Epoch  41 | Train Loss: 0.3970 | Train Acc: 83.15% | Val Loss: 0.6829 | Val Acc: 77.53%
Epoch  42 | Train Loss: 0.3924 | Train Acc: 83.63% | Val Loss: 0.6763 | Val Acc: 79.03%
Epoch  43 | Train Loss: 0.3841 | Train Acc: 83.56% | Val Loss: 0.6678 | Val Acc: 78.18%
Epoch  44 | Train Loss: 0.3662 | Train Acc: 84.82% | Val Loss: 0.6464 | Val Acc: 79.82%
Epoch  45 | Train Loss: 0.3559 | Train Acc: 85.03% | Val Loss: 0.6126 | Val Acc: 79.87%
Epoch  46 | Train Loss: 0.3552 | Train Acc: 85.20% | Val Loss: 0.6376 | Val Acc: 79.57%
Epoch  47 | Train Loss: 0.2634 | Train Acc: 88.54% | Val Loss: 0.5183 | Val Acc: 84.59%
Epoch  48 | Train Loss: 0.2474 | Train Acc: 89.25% | Val Loss: 0.5502 | Val Acc: 85.39%
Epoch  49 | Train Loss: 0.2302 | Train Acc: 90.28% | Val Loss: 0.5262 | Val Acc: 84.05%
Epoch  50 | Train Loss: 0.2249 | Train Acc: 90.52% | Val Loss: 0.5445 | Val Acc: 86.23%
